X,Y,Location,dollars_LE24,borrowers_LE24,dollars_25_34,borrowers_25_34,dollars_35_49,borrowers_35_49,dollars_50_61,borrowers_50_61,dollars_GE62,borrowers_GE62,avg_balance_LE24,avg_balance_25_34,avg_balance_35_49,avg_balance_50_61,avg_balance_GE62,FID
-109.645067731818,47.0334993329878,Montana,0.310000002384186,22.8999996185303,1.29999995231628,43.5,1.44000005722046,34.0999984741211,0.560000002384186,14.6999998092651,0.170000001788139,4.19999980926514,13537.1181640625,29885.056640625,42228.73828125,38095.23828125,40476.19140625,27
-99.8111073067482,41.5272703259389,Nebraska,0.810000002384186,56.4000015258789,2.78999996185303,88,2.42000007629395,60.2999992370605,1,27.3999996185303,0.230000004172325,6.40000009536743,14361.7021484375,31704.544921875,40132.671875,36496.3515625,35937.5,28
-116.655436405254,39.356482037113,Nevada,0.620000004768372,49.0999984741211,3.36999988555908,112.599998474121,4.03000020980835,98.5,1.60000002384186,42.7999992370605,0.5,13.8999996185303,12627.291015625,29928.951171875,40913.70703125,37383.17578125,35971.22265625,29
-71.5775967381757,43.6855252467842,New Hampshire,0.790000021457672,47.7999992370605,2.11999988555908,66.9000015258789,1.71000003814697,40.2000007629395,1.03999996185303,22.6000003814697,0.259999990463257,5.30000019073486,16527.197265625,31689.087890625,42537.3125,46017.69921875,49056.60546875,30
-74.7285649998918,39.6133483532029,New Jersey,5.03999996185303,299.799987792969,14.1300001144409,405.700012207031,10.0299997329712,238.300003051758,6.57000017166138,138.199996948242,1.80999994277954,39.2000007629395,16811.20703125,34828.69140625,42089.8046875,47539.796875,46173.46875,31
-106.108403844888,34.4213265336599,New Mexico,0.370000004768372,31.5,2.17000007629395,76.6999969482422,2.94000005722046,72.0999984741211,1.12999999523163,28.7999992370605,0.389999985694885,9.19999980926514,11746.0322265625,28292.046875,40776.69921875,39236.109375,42391.3046875,32
-75.6107014469796,42.9370839787933,New York,9.32999992370605,548.599975585938,33.6599998474121,872.099975585938,24.9799995422363,545.099975585938,13.3800001144409,301.700012207031,3.9300000667572,95.1999969482422,17006.92578125,38596.4921875,45826.453125,44348.69140625,41281.51171875,33
-79.185417912751,35.5393443352823,North Carolina,4.01999998092651,246.199996948242,15.0799999237061,418.600006103516,15.8000001907349,344,6.32000017166138,151.199996948242,1.45000004768372,36.0999984741211,16328.1884765625,36024.84375,45930.234375,41798.94140625,40166.203125,34
-100.469387369636,47.446273339702,North Dakota,0.310000002384186,21.7999992370605,0.910000026226044,32.5999984741211,0.779999971389771,19.6000003814697,0.230000004172325,6.5,0.0599999986588955,1.60000002384186,14220.18359375,27914.111328125,39795.91796875,35384.6171875,37500,35
-82.7112151860144,40.4130567986875,Ohio,5.48999977111816,348.5,20.3299999237061,616,20.5599994659424,494.799987792969,8.78999996185303,220,2.26999998092651,59.5999984741211,15753.228515625,33003.24609375,41552.140625,39954.546875,38087.25,36
-97.508599360714,35.5826839500639,Oklahoma,1.02999997138977,78.5,4.5,158.600006103516,5.53000020980835,144.5,2.09999990463257,58.5,0.610000014305115,17.6000003814697,13121.01953125,28373.265625,38269.89453125,35897.4375,34659.08984375,37
-120.558560912057,43.9387802412055,Oregon,1.12000000476837,80.4000015258789,6.46000003814697,194.399993896484,7.55000019073486,168.600006103516,2.55999994277954,63.9000015258789,0.819999992847443,20,13930.3486328125,33230.453125,44780.546875,40062.59765625,41000,38
-77.8387507762799,40.896511654325,Pennsylvania,7.44000005722046,435.200012207031,22.5599994659424,631.099975585938,17.3600006103516,397.100006103516,9.06999969482422,211.300003051758,2.25,53.9000015258789,17095.587890625,35747.109375,43716.94921875,42924.75,41743.96875,39
-66.4689534309934,18.2226064982801,Puerto Rico,0.579999983310699,64.0999984741211,3.22000002861023,118.300003051758,2.90000009536743,94.3000030517578,0.839999973773956,30.2999992370605,0.209999993443489,8.69999980926514,9048.3623046875,27218.935546875,30752.916015625,27722.771484375,24137.931640625,40
-71.4543194665838,41.4887129397205,Rhode Island,0.560000002384186,33.9000015258789,1.61000001430511,50.2999992370605,1.12000000476837,29.8999996185303,0.660000026226044,15.8999996185303,0.189999997615814,4.40000009536743,16519.173828125,32007.953125,37458.1953125,41509.43359375,43181.81640625,41
-80.8937523467735,33.9038634093712,South Carolina,2.21000003814697,136.600006103516,8.6899995803833,235.5,9.09000015258789,191.800003051758,3.51999998092651,83.3000030517578,0.870000004768372,21.8999996185303,16178.6240234375,36900.2109375,47393.1171875,42256.90234375,39726.02734375,42
-100.230536743294,44.4361279998816,South Dakota,0.439999997615814,28.5,1.25999999046326,40.9000015258789,1.10000002384186,26.3999996185303,0.400000005960464,11.1000003814697,0.100000001490116,2.79999995231628,15438.5966796875,30806.845703125,41666.66796875,36036.03515625,35714.28515625,43
-86.3430511773485,35.8430026972527,Tennessee,2.30999994277954,152.699996948242,10.0699996948242,295.700012207031,10.6199998855591,237.899993896484,3.85999989509583,94.8000030517578,0.930000007152557,23.5,15127.701171875,34054.78515625,44640.60546875,40717.30078125,39574.46875,44
-99.3330500903455,31.4627330457748,Texas,8.90999984741211,642.799987792969,36.1599998474121,1204.5,39.3600006103516,955.099975585938,14.8500003814697,383.200012207031,3.76999998092651,102.5,13861.232421875,30020.755859375,41210.34375,38752.609375,36780.48828125,45
-111.678248391262,39.3237251932089,Utah,0.579999983310699,54.7999992370605,3.41000008583069,118.800003051758,3.80999994277954,87.8000030517578,0.889999985694885,22.2000007629395,0.230000004172325,5.5,10583.94140625,28703.703125,43394.078125,40090.08984375,41818.18359375,46
-72.6626888037181,44.0752070989987,Vermont,0.300000011920929,18.7000007629395,0.899999976158142,26.2000007629395,0.819999992847443,16.8999996185303,0.439999997615814,9.30000019073486,0.159999996423721,3,16042.7802734375,34351.14453125,48520.7109375,47311.828125,53333.33203125,47
-78.6979487129432,37.5128205043543,Virginia,3.52999997138977,215.300003051758,13.7600002288818,367.600006103516,13.4799995422363,280.100006103516,5.78999996185303,125,1.39999997615814,31.7999992370605,16395.7265625,37431.9921875,48125.66796875,46320,44025.15625,48
-120.55626318685,47.4112518428849,Washington,1.79999995231628,129.100006103516,8.88000011444092,278.700012207031,9.68000030517578,228.699996948242,3.85999989509583,95.5999984741211,1.10000002384186,27,13942.6796875,31862.216796875,42326.19140625,40376.5703125,40740.7421875,49
-80.6136166411771,38.6424149369028,West Virginia,0.639999985694885,43.5,2.32999992370605,75,2.55999994277954,67.8000030517578,0.839999973773956,25.1000003814697,0.209999993443489,6.30000019073486,14712.6435546875,31066.666015625,37758.11328125,33466.13671875,33333.33203125,50
-89.7391854239745,44.6448333667427,Wisconsin,2.60999989509583,170,8.35999965667725,268.899993896484,7.17999982833862,178.699996948242,2.75,71.9000015258789,0.629999995231628,16.7000007629395,15352.94140625,31089.625,40179.0703125,38247.56640625,37724.55078125,51
-107.551610158133,42.9996043389952,Wyoming,0.100000001490116,9.19999980926514,0.479999989271164,18.3999996185303,0.620000004768372,16.2000007629395,0.209999993443489,5.90000009536743,0.0700000002980232,1.70000004768372,10869.5654296875,26086.95703125,38271.60546875,35593.21875,41176.46875,52
